TransactionID,Year,Month,SalePrice_GBP,ProfitMarginPct,Profit_GBP,BuyerAgeGroup,BuyerGender,BuyerRegion,PurchaseChannel,ResaleIntent
30,2023,3,5504.51,38.1,2097.22,60+,Male,North England,Authorized Dealer,Sell Within 3y
31,2023,9,5424.17,41.5,2251.03,30–44,Male,Wales,Authorized Dealer,Trade-In
32,2024,3,9045.24,36.2,3274.38,30–44,Male,Northern Ireland,Authorized Dealer,Sell Within 3y
33,2024,3,5336.23,38.0,2027.77,60+,Male,London,Online Boutique,Sell Within 3y
34,2024,4,7231.99,37.8,2733.69,60+,Female,Scotland,Online Boutique,Hold Long-Term
35,2023,3,8055.11,40.7,3278.43,30–44,Male,London,Authorized Dealer,Hold Long-Term
36,2024,5,5359.84,39.5,2117.14,45–59,Male,London,Pre-Owned Dealer,Sell Within 3y
37,2024,6,5918.57,43.3,2562.74,45–59,Non-binary/Other,London,Authorized Dealer,Hold Long-Term
38,2023,1,10513.52,41.2,4331.57,60+,Female,North England,Authorized Dealer,Hold Long-Term
39,2024,11,3361.16,32.8,1102.46,60+,Male,London,Pre-Owned Dealer,Trade-In
40,2023,4,5069.19,37.1,1880.67,60+,Male,South East,Authorized Dealer,Trade-In
41,2024,6,3883.88,40.6,1576.86,45–59,Female,London,Authorized Dealer,Hold Long-Term
42,2023,1,7235.93,36.5,2641.11,60+,Male,North England,Authorized Dealer,Sell Within 3y
43,2023,6,19565.87,22.1,4324.06,60+,Male,Midlands,Authorized Dealer,Hold Long-Term
44,2024,1,4058.13,44.7,1813.98,45–59,Female,North England,Pre-Owned Dealer,Trade-In
45,2023,4,10836.66,38.0,4117.93,60+,Female,North England,Online Boutique,Hold Long-Term
46,2024,11,11709.45,37.3,4367.62,45–59,Male,London,Authorized Dealer,Sell Within 3y
47,2024,2,2820.98,37.5,1057.87,45–59,Male,Midlands,Online Boutique,Trade-In
48,2023,9,3878.26,31.8,1233.29,30–44,Male,North England,Authorized Dealer,Trade-In
49,2024,10,6578.34,36.0,2368.2,Under 30,Female,North England,Authorized Dealer,Sell Within 3y
50,2024,10,4469.27,34.1,1524.02,45–59,Male,North England,Pre-Owned Dealer,Sell Within 3y
51,2024,2,7414.99,31.8,2357.97,60+,Male,Wales,Online Boutique,Trade-In
52,2023,9,11458.52,36.6,4193.82,60+,Male,North England,Pre-Owned Dealer,Hold Long-Term
53,2023,12,8793.82,37.9,3332.86,60+,Male,Scotland,Authorized Dealer,Sell Within 3y
54,2024,4,6132.08,41.4,2538.68,30–44,Female,South East,Online Boutique,Sell Within 3y
55,2024,10,8324.35,37.3,3104.98,60+,Female,Midlands,Online Boutique,Trade-In
56,2024,8,7636.75,35.2,2688.14,60+,Male,London,Authorized Dealer,Sell Within 3y
57,2024,11,3996.1,38.8,1550.49,60+,Female,South East,Authorized Dealer,Trade-In
58,2023,11,5214.38,41.3,2153.54,30–44,Female,London,Authorized Dealer,Hold Long-Term
59,2023,3,7999.48,40.9,3271.79,45–59,Male,Midlands,Authorized Dealer,Trade-In
60,2024,12,6454.98,34.9,2252.79,30–44,Male,London,Authorized Dealer,Trade-In
61,2024,6,7547.63,36.4,2747.34,30–44,Male,London,Authorized Dealer,Sell Within 3y
62,2023,5,9471.41,34.6,3277.11,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
63,2024,1,2520.86,46.7,1177.24,45–59,Male,Midlands,Pre-Owned Dealer,Sell Within 3y
64,2023,11,12000.25,40.9,4908.1,60+,Male,Northern Ireland,Online Boutique,Sell Within 3y
65,2024,1,3093.08,42.1,1302.19,60+,Female,Wales,Authorized Dealer,Trade-In
66,2024,9,6665.24,31.1,2072.89,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
67,2023,12,7053.22,37.9,2673.17,30–44,Male,North England,Authorized Dealer,Hold Long-Term
68,2023,3,6257.12,43.0,2690.56,45–59,Female,Scotland,Authorized Dealer,Sell Within 3y
69,2024,1,7151.59,29.8,2131.17,60+,Male,North England,Authorized Dealer,Hold Long-Term
70,2023,7,5296.61,35.6,1885.59,60+,Female,London,Online Boutique,Sell Within 3y
71,2024,11,4951.84,26.5,1312.24,30–44,Male,South East,Authorized Dealer,Trade-In
72,2023,4,6359.95,51.1,3249.93,30–44,Male,North England,Authorized Dealer,Trade-In
73,2024,9,7104.83,37.2,2643.0,45–59,Male,South East,Authorized Dealer,Trade-In
74,2024,3,5033.76,33.5,1686.31,60+,Female,Midlands,Authorized Dealer,Sell Within 3y
75,2024,5,7529.64,40.5,3049.5,60+,Non-binary/Other,Northern Ireland,Authorized Dealer,Sell Within 3y
76,2024,6,4685.85,34.1,1597.87,30–44,Male,South East,Pre-Owned Dealer,Trade-In
77,2023,6,5233.0,39.3,2056.57,45–59,Male,London,Authorized Dealer,Hold Long-Term
78,2024,8,6008.6,33.8,2030.91,30–44,Male,South East,Authorized Dealer,Hold Long-Term
79,2023,2,7907.09,41.8,3305.16,60+,Female,London,Authorized Dealer,Hold Long-Term
80,2023,1,5838.01,32.8,1914.87,Under 30,Female,London,Authorized Dealer,Sell Within 3y
81,2023,4,7729.96,36.9,2852.36,45–59,Female,North England,Pre-Owned Dealer,Sell Within 3y
82,2024,4,12591.57,31.1,3915.98,60+,Male,North England,Authorized Dealer,Sell Within 3y
83,2024,9,5459.36,37.0,2019.96,45–59,Male,South East,Online Boutique,Trade-In
84,2023,5,11116.83,35.6,3957.59,30–44,Male,North England,Authorized Dealer,Sell Within 3y
85,2023,10,3890.85,29.9,1163.36,Under 30,Female,Northern Ireland,Authorized Dealer,Hold Long-Term
86,2024,3,8552.74,45.1,3857.29,60+,Male,Wales,Authorized Dealer,Trade-In
87,2024,1,6110.95,35.1,2144.94,45–59,Male,Midlands,Authorized Dealer,Sell Within 3y
88,2024,9,15345.2,36.1,5539.62,60+,Female,South East,Authorized Dealer,Trade-In
89,2024,6,5384.47,40.8,2196.86,60+,Male,Midlands,Pre-Owned Dealer,Hold Long-Term
90,2024,3,4729.44,31.4,1485.04,30–44,Female,Midlands,Authorized Dealer,Hold Long-Term
91,2024,8,10054.76,30.7,3086.81,45–59,Female,London,Pre-Owned Dealer,Sell Within 3y
92,2023,8,7776.47,32.8,2550.68,45–59,Male,North England,Authorized Dealer,Trade-In
93,2024,5,6799.28,41.5,2821.7,45–59,Male,North England,Authorized Dealer,Sell Within 3y
94,2024,10,2509.48,31.2,782.96,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
95,2024,11,7720.37,49.1,3790.7,60+,Male,Midlands,Authorized Dealer,Hold Long-Term
96,2024,12,6311.5,37.3,2354.19,45–59,Male,Scotland,Authorized Dealer,Sell Within 3y
97,2024,4,6813.97,38.1,2596.12,60+,Female,London,Pre-Owned Dealer,Hold Long-Term
98,2024,3,4819.55,38.6,1860.35,45–59,Female,London,Pre-Owned Dealer,Hold Long-Term
99,2023,5,11090.1,33.1,3670.82,60+,Female,South East,Authorized Dealer,Hold Long-Term
100,2024,3,6538.59,36.0,2353.89,45–59,Female,North England,Authorized Dealer,Sell Within 3y
101,2024,6,5957.64,33.2,1977.94,45–59,Male,Wales,Authorized Dealer,Hold Long-Term
102,2023,4,3521.82,35.7,1257.29,60+,Male,North England,Authorized Dealer,Trade-In
103,2024,12,6064.93,35.0,2122.73,30–44,Male,South East,Pre-Owned Dealer,Hold Long-Term
104,2023,5,4236.42,43.3,1834.37,45–59,Male,London,Authorized Dealer,Hold Long-Term
105,2024,7,11332.13,37.2,4215.55,60+,Female,London,Authorized Dealer,Trade-In
106,2023,4,7239.89,36.3,2628.08,60+,Male,South East,Authorized Dealer,Hold Long-Term
107,2024,3,5144.4,35.4,1821.12,30–44,Male,Wales,Authorized Dealer,Trade-In
108,2024,9,6090.9,32.5,1979.54,30–44,Male,Wales,Authorized Dealer,Hold Long-Term
109,2024,5,11703.09,31.6,3698.18,Under 30,Male,North England,Authorized Dealer,Hold Long-Term
110,2023,6,6926.97,35.1,2431.37,60+,Male,Scotland,Authorized Dealer,Sell Within 3y
111,2024,11,6514.96,42.4,2762.34,30–44,Male,Wales,Authorized Dealer,Sell Within 3y
112,2023,1,13763.65,38.6,5312.77,Under 30,Female,North England,Authorized Dealer,Sell Within 3y
113,2024,2,7595.16,33.1,2514.0,30–44,Male,Midlands,Pre-Owned Dealer,Hold Long-Term
114,2023,3,9403.81,32.3,3037.43,Under 30,Non-binary/Other,Scotland,Pre-Owned Dealer,Trade-In
115,2023,3,5688.68,34.7,1973.97,30–44,Female,Midlands,Authorized Dealer,Hold Long-Term
116,2023,3,5622.45,41.3,2322.07,Under 30,Female,London,Authorized Dealer,Sell Within 3y
117,2023,1,9176.01,41.2,3780.52,45–59,Female,Midlands,Authorized Dealer,Trade-In
118,2024,10,6423.7,34.2,2196.91,60+,Male,North England,Authorized Dealer,Hold Long-Term
119,2023,8,7557.8,33.1,2501.63,60+,Female,Midlands,Authorized Dealer,Hold Long-Term
120,2024,2,6379.25,38.6,2462.39,45–59,Non-binary/Other,North England,Authorized Dealer,Trade-In
121,2024,10,6547.05,32.4,2121.24,30–44,Female,Scotland,Authorized Dealer,Hold Long-Term
122,2024,2,6206.66,34.9,2166.12,60+,Male,London,Authorized Dealer,Trade-In
123,2023,3,3868.78,44.1,1706.13,45–59,Male,London,Authorized Dealer,Sell Within 3y
124,2023,8,11029.48,33.0,3639.73,Under 30,Female,Midlands,Authorized Dealer,Trade-In
125,2023,10,5151.09,36.7,1890.45,45–59,Male,South East,Authorized Dealer,Trade-In
126,2023,2,4056.4,36.0,1460.3,60+,Male,South East,Authorized Dealer,Hold Long-Term
127,2024,1,6760.6,40.6,2744.8,60+,Male,London,Pre-Owned Dealer,Sell Within 3y
128,2024,9,5034.77,37.3,1877.97,45–59,Male,Scotland,Pre-Owned Dealer,Hold Long-Term
129,2024,11,10840.87,29.1,3154.69,30–44,Male,Wales,Online Boutique,Hold Long-Term
130,2024,3,8457.87,30.9,2613.48,60+,Male,South East,Pre-Owned Dealer,Trade-In
131,2024,8,5176.49,38.9,2013.65,45–59,Male,Midlands,Authorized Dealer,Sell Within 3y
132,2024,8,4594.84,35.8,1644.95,60+,Male,South East,Online Boutique,Hold Long-Term
133,2024,1,8467.65,33.7,2853.6,60+,Male,London,Authorized Dealer,Hold Long-Term
134,2024,5,4955.53,29.4,1456.93,60+,Female,Midlands,Pre-Owned Dealer,Sell Within 3y
135,2023,1,3784.43,37.4,1415.38,60+,Male,South East,Pre-Owned Dealer,Trade-In
136,2024,1,3368.26,33.8,1138.47,60+,Male,Scotland,Authorized Dealer,Sell Within 3y
137,2024,3,8684.04,39.5,3430.2,60+,Male,London,Authorized Dealer,Trade-In
138,2024,9,3505.79,37.7,1321.68,30–44,Female,North England,Pre-Owned Dealer,Hold Long-Term
139,2023,8,4082.68,31.6,1290.13,60+,Male,London,Authorized Dealer,Hold Long-Term
140,2024,1,8621.56,29.8,2569.22,Under 30,Female,Midlands,Authorized Dealer,Hold Long-Term
141,2024,12,9024.82,33.3,3005.27,60+,Male,North England,Authorized Dealer,Hold Long-Term
142,2023,10,4096.56,37.9,1552.6,45–59,Male,London,Authorized Dealer,Trade-In
143,2023,1,5122.08,39.5,2023.22,45–59,Male,London,Authorized Dealer,Trade-In
144,2023,11,9656.35,26.5,2558.93,30–44,Male,South East,Pre-Owned Dealer,Hold Long-Term
145,2024,12,7112.68,42.8,3044.23,45–59,Male,South East,Authorized Dealer,Sell Within 3y
146,2023,3,5433.1,37.3,2026.55,30–44,Female,Scotland,Authorized Dealer,Sell Within 3y
147,2023,6,6852.19,34.4,2357.15,60+,Male,London,Online Boutique,Trade-In
148,2023,6,7725.85,26.3,2031.9,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
149,2023,8,4208.95,30.9,1300.57,Under 30,Male,Wales,Authorized Dealer,Sell Within 3y
150,2023,9,4353.52,41.8,1819.77,45–59,Male,North England,Authorized Dealer,Trade-In
151,2024,9,10206.5,36.3,3704.96,Under 30,Male,North England,Authorized Dealer,Trade-In
152,2023,4,13190.13,36.5,4814.4,60+,Male,London,Authorized Dealer,Sell Within 3y
153,2024,4,9394.99,34.3,3222.48,60+,Male,South East,Authorized Dealer,Trade-In
154,2023,8,6067.16,33.6,2038.57,Under 30,Female,London,Authorized Dealer,Hold Long-Term
155,2024,3,4985.22,34.4,1714.92,45–59,Male,North England,Pre-Owned Dealer,Trade-In
156,2023,1,6699.15,40.4,2706.46,Under 30,Male,Northern Ireland,Authorized Dealer,Trade-In
157,2024,6,9967.06,40.3,4016.73,45–59,Male,London,Online Boutique,Hold Long-Term
158,2023,4,10834.58,39.2,4247.16,45–59,Male,North England,Authorized Dealer,Sell Within 3y
159,2023,10,6523.29,34.8,2270.1,30–44,Male,Midlands,Authorized Dealer,Trade-In
160,2024,4,7688.92,38.0,2921.79,30–44,Female,London,Online Boutique,Sell Within 3y
161,2024,12,3677.54,43.8,1610.76,60+,Female,Wales,Pre-Owned Dealer,Hold Long-Term
162,2023,9,6204.62,40.4,2506.67,60+,Female,Wales,Authorized Dealer,Hold Long-Term
163,2023,10,11751.3,42.8,5029.56,30–44,Male,London,Authorized Dealer,Hold Long-Term
164,2024,8,6194.05,29.2,1808.66,60+,Male,South East,Online Boutique,Hold Long-Term
165,2023,12,7865.49,26.3,2068.62,45–59,Female,Midlands,Authorized Dealer,Sell Within 3y
166,2023,9,9380.44,40.1,3761.56,45–59,Male,Scotland,Authorized Dealer,Hold Long-Term
167,2024,12,9088.29,35.4,3217.25,60+,Female,Midlands,Authorized Dealer,Trade-In
168,2023,11,6814.27,18.2,1240.2,30–44,Male,London,Pre-Owned Dealer,Sell Within 3y
169,2023,9,5235.42,39.9,2088.93,30–44,Female,London,Authorized Dealer,Sell Within 3y
170,2024,12,2759.51,41.6,1147.96,30–44,Male,Wales,Pre-Owned Dealer,Hold Long-Term
171,2023,1,4121.47,37.8,1557.92,60+,Female,Northern Ireland,Authorized Dealer,Sell Within 3y
172,2023,2,5790.61,36.8,2130.94,30–44,Female,North England,Authorized Dealer,Hold Long-Term
173,2024,9,8722.53,28.5,2485.92,60+,Male,Midlands,Authorized Dealer,Hold Long-Term
174,2024,8,7109.99,41.5,2950.65,45–59,Male,South East,Pre-Owned Dealer,Hold Long-Term
175,2024,2,10349.03,48.7,5039.98,45–59,Male,London,Authorized Dealer,Hold Long-Term
176,2023,5,4026.21,49.1,1976.87,30–44,Male,South East,Authorized Dealer,Hold Long-Term
177,2024,8,3220.03,36.4,1172.09,60+,Male,North England,Authorized Dealer,Trade-In
178,2023,4,8329.29,36.9,3073.51,45–59,Non-binary/Other,London,Online Boutique,Sell Within 3y
179,2024,11,13342.77,40.1,5350.45,60+,Male,Midlands,Pre-Owned Dealer,Trade-In
180,2023,10,7089.43,30.4,2155.19,45–59,Male,London,Authorized Dealer,Hold Long-Term
181,2024,3,5265.31,33.5,1763.88,45–59,Male,London,Authorized Dealer,Trade-In
182,2024,7,9334.24,39.7,3705.69,Under 30,Male,London,Authorized Dealer,Trade-In
183,2024,6,11498.13,37.6,4323.3,45–59,Female,North England,Pre-Owned Dealer,Hold Long-Term
184,2024,6,4035.83,33.5,1352.0,45–59,Male,Midlands,Authorized Dealer,Trade-In
185,2023,8,5715.82,35.7,2040.55,60+,Female,London,Authorized Dealer,Hold Long-Term
186,2024,3,9804.21,30.1,2951.07,60+,Male,Scotland,Authorized Dealer,Trade-In
187,2024,5,7233.99,34.2,2474.02,60+,Male,North England,Online Boutique,Hold Long-Term
188,2023,9,4770.48,41.8,1994.06,45–59,Female,London,Authorized Dealer,Hold Long-Term
189,2024,4,5822.51,33.0,1921.43,30–44,Male,London,Pre-Owned Dealer,Hold Long-Term
190,2023,11,4608.92,32.5,1497.9,45–59,Male,Scotland,Pre-Owned Dealer,Sell Within 3y
191,2023,1,3661.75,34.0,1245.0,45–59,Male,London,Pre-Owned Dealer,Hold Long-Term
192,2024,9,7431.62,30.2,2244.35,30–44,Female,London,Online Boutique,Sell Within 3y
193,2024,9,3911.55,39.5,1545.06,45–59,Male,South East,Pre-Owned Dealer,Hold Long-Term
194,2024,9,6248.57,28.5,1780.84,30–44,Male,London,Pre-Owned Dealer,Hold Long-Term
195,2024,8,4511.4,31.5,1421.09,60+,Male,North England,Authorized Dealer,Sell Within 3y
196,2024,2,7779.09,37.4,2909.38,Under 30,Female,South East,Pre-Owned Dealer,Trade-In
197,2024,4,5672.05,26.1,1480.41,60+,Male,Midlands,Authorized Dealer,Hold Long-Term
198,2023,4,5894.11,43.8,2581.62,45–59,Male,North England,Authorized Dealer,Hold Long-Term
199,2023,4,3530.75,42.9,1514.69,45–59,Male,South East,Authorized Dealer,Hold Long-Term
200,2023,6,7157.88,36.4,2605.47,45–59,Female,Wales,Pre-Owned Dealer,Sell Within 3y
201,2024,5,5471.35,42.4,2319.85,30–44,Male,Northern Ireland,Authorized Dealer,Hold Long-Term
202,2024,10,4735.81,37.7,1785.4,45–59,Male,Midlands,Online Boutique,Sell Within 3y
203,2023,3,7683.98,39.4,3027.49,45–59,Male,Midlands,Authorized Dealer,Trade-In
204,2024,2,9325.45,42.0,3916.69,30–44,Male,London,Authorized Dealer,Hold Long-Term
205,2024,5,12702.63,47.4,6021.05,60+,Male,North England,Authorized Dealer,Trade-In
206,2024,3,7012.28,37.5,2629.6,60+,Female,Northern Ireland,Authorized Dealer,Sell Within 3y
207,2023,12,7123.84,48.3,3440.81,45–59,Male,Midlands,Authorized Dealer,Hold Long-Term
208,2023,12,4471.12,42.0,1877.87,60+,Male,London,Authorized Dealer,Trade-In
209,2024,7,4968.96,44.5,2211.19,30–44,Male,London,Authorized Dealer,Hold Long-Term
210,2024,2,10334.97,36.7,3792.93,45–59,Male,Midlands,Pre-Owned Dealer,Sell Within 3y
211,2023,10,5445.82,38.4,2091.19,60+,Male,London,Authorized Dealer,Hold Long-Term
212,2024,9,13404.4,47.8,6407.3,45–59,Male,London,Authorized Dealer,Hold Long-Term
213,2023,8,3989.81,33.4,1332.6,45–59,Female,London,Authorized Dealer,Hold Long-Term
214,2023,5,6150.65,30.4,1869.8,30–44,Female,Wales,Authorized Dealer,Trade-In
215,2023,9,6076.12,48.0,2916.54,60+,Male,North England,Authorized Dealer,Sell Within 3y
216,2023,11,5023.57,26.2,1316.18,45–59,Female,North England,Online Boutique,Hold Long-Term
217,2023,3,5816.65,41.3,2402.28,30–44,Male,Midlands,Authorized Dealer,Hold Long-Term
218,2024,1,6090.73,32.9,2003.85,45–59,Male,North England,Authorized Dealer,Trade-In
219,2024,5,7038.49,35.4,2491.63,60+,Male,Midlands,Authorized Dealer,Hold Long-Term
220,2023,9,6356.96,27.2,1729.09,30–44,Male,South East,Authorized Dealer,Trade-In
221,2023,6,9953.74,35.3,3513.67,30–44,Female,London,Authorized Dealer,Hold Long-Term
222,2024,12,17785.79,29.4,5229.02,30–44,Female,Midlands,Authorized Dealer,Sell Within 3y
223,2024,5,8870.34,35.9,3184.45,30–44,Male,South East,Authorized Dealer,Hold Long-Term
224,2024,9,7731.94,38.4,2969.06,60+,Female,Midlands,Pre-Owned Dealer,Trade-In
225,2023,9,4448.21,28.8,1281.08,60+,Female,Wales,Pre-Owned Dealer,Trade-In
226,2023,5,5314.04,41.1,2184.07,30–44,Male,Wales,Authorized Dealer,Sell Within 3y
227,2024,9,3356.86,40.8,1369.6,60+,Male,South East,Authorized Dealer,Trade-In
228,2024,12,8020.84,25.4,2037.29,45–59,Male,South East,Pre-Owned Dealer,Trade-In
229,2024,10,3664.04,33.6,1231.12,60+,Female,South East,Pre-Owned Dealer,Sell Within 3y
230,2024,10,8688.07,32.2,2797.56,60+,Male,South East,Online Boutique,Hold Long-Term
231,2023,8,4895.94,54.1,2648.7,45–59,Male,South East,Pre-Owned Dealer,Trade-In
232,2023,9,7644.73,36.2,2767.39,45–59,Male,London,Authorized Dealer,Sell Within 3y
233,2024,9,8158.03,29.0,2365.83,30–44,Male,London,Authorized Dealer,Sell Within 3y
234,2024,4,3120.58,37.0,1154.61,60+,Male,North England,Authorized Dealer,Trade-In
235,2024,11,4826.66,29.5,1423.86,60+,Male,Midlands,Authorized Dealer,Trade-In
236,2023,10,7653.27,32.3,2472.01,30–44,Male,South East,Pre-Owned Dealer,Trade-In
237,2023,6,8031.84,42.8,3437.63,60+,Female,North England,Online Boutique,Hold Long-Term
238,2024,11,9131.14,36.1,3296.34,45–59,Non-binary/Other,London,Authorized Dealer,Hold Long-Term
239,2023,7,5785.49,36.7,2123.27,60+,Male,Scotland,Authorized Dealer,Sell Within 3y
240,2023,8,6392.62,41.7,2665.72,45–59,Male,London,Authorized Dealer,Trade-In
241,2024,4,13546.08,46.3,6271.84,30–44,Male,North England,Pre-Owned Dealer,Sell Within 3y
242,2024,5,7184.69,37.9,2723.0,45–59,Female,London,Authorized Dealer,Trade-In
243,2024,11,9218.09,30.6,2820.74,60+,Male,Scotland,Authorized Dealer,Hold Long-Term
244,2024,12,5971.28,35.8,2137.72,60+,Male,Northern Ireland,Authorized Dealer,Hold Long-Term
245,2023,5,3634.22,37.7,1370.1,60+,Male,South East,Authorized Dealer,Sell Within 3y
246,2023,1,7995.03,35.4,2830.24,60+,Male,London,Authorized Dealer,Sell Within 3y
247,2024,3,8251.9,39.6,3267.75,30–44,Non-binary/Other,Wales,Authorized Dealer,Sell Within 3y
248,2023,4,9674.16,32.4,3134.43,45–59,Male,Northern Ireland,Online Boutique,Hold Long-Term
249,2023,8,4629.9,45.6,2111.23,60+,Male,North England,Pre-Owned Dealer,Sell Within 3y
250,2023,12,5000.75,38.7,1935.29,60+,Male,South East,Authorized Dealer,Hold Long-Term
251,2024,2,2795.33,27.9,779.9,45–59,Male,London,Pre-Owned Dealer,Trade-In
252,2023,8,8302.51,36.2,3005.51,45–59,Male,North England,Authorized Dealer,Sell Within 3y
253,2023,7,9185.01,39.9,3664.82,30–44,Male,North England,Pre-Owned Dealer,Sell Within 3y
254,2024,2,5070.67,38.4,1947.14,60+,Female,London,Authorized Dealer,Trade-In
255,2024,11,5561.84,44.2,2458.33,30–44,Male,Midlands,Authorized Dealer,Sell Within 3y
256,2024,7,6087.39,30.9,1881.0,45–59,Male,South East,Authorized Dealer,Trade-In
257,2023,3,12533.08,28.2,3534.33,60+,Female,Midlands,Authorized Dealer,Sell Within 3y
258,2024,12,9535.67,40.6,3871.48,45–59,Female,Midlands,Authorized Dealer,Hold Long-Term
259,2024,1,10467.35,34.0,3558.9,45–59,Female,Midlands,Online Boutique,Sell Within 3y
260,2024,12,6254.93,34.3,2145.44,30–44,Male,Midlands,Authorized Dealer,Trade-In
261,2024,2,5553.22,40.5,2249.05,60+,Male,Midlands,Authorized Dealer,Hold Long-Term
262,2024,4,10305.25,31.1,3204.93,60+,Male,London,Authorized Dealer,Sell Within 3y
263,2023,6,3418.0,29.2,998.06,45–59,Male,South East,Authorized Dealer,Trade-In
264,2024,3,8143.97,30.3,2467.62,45–59,Male,North England,Authorized Dealer,Hold Long-Term
265,2024,4,3944.88,39.7,1566.12,45–59,Male,North England,Pre-Owned Dealer,Sell Within 3y
266,2023,4,9081.6,35.3,3205.8,30–44,Male,Scotland,Authorized Dealer,Hold Long-Term
267,2024,2,8128.05,32.3,2625.36,30–44,Male,South East,Authorized Dealer,Sell Within 3y
268,2023,3,4648.91,25.4,1180.82,30–44,Male,Midlands,Authorized Dealer,Sell Within 3y
269,2024,2,7239.29,39.6,2866.76,60+,Male,London,Authorized Dealer,Trade-In
270,2024,3,4214.35,30.6,1289.59,60+,Female,South East,Authorized Dealer,Sell Within 3y
271,2023,4,4359.36,39.4,1717.59,45–59,Male,North England,Pre-Owned Dealer,Sell Within 3y
272,2024,4,5662.87,33.9,1919.71,30–44,Male,Scotland,Authorized Dealer,Trade-In
273,2024,12,4887.91,37.5,1832.97,60+,Male,South East,Authorized Dealer,Hold Long-Term
274,2024,10,9840.12,32.4,3188.2,45–59,Male,Midlands,Authorized Dealer,Sell Within 3y
275,2023,9,15267.86,37.8,5771.25,45–59,Male,London,Authorized Dealer,Hold Long-Term
276,2024,7,6636.04,25.3,1678.92,60+,Male,London,Authorized Dealer,Sell Within 3y
277,2023,8,6612.78,32.0,2116.09,45–59,Female,London,Authorized Dealer,Trade-In
278,2023,3,8924.16,38.7,3453.65,30–44,Male,London,Authorized Dealer,Trade-In
279,2023,9,5826.35,43.7,2546.11,45–59,Male,London,Authorized Dealer,Trade-In
280,2023,11,7925.02,38.5,3051.13,45–59,Male,South East,Authorized Dealer,Trade-In
281,2024,7,3117.15,32.5,1013.07,60+,Male,London,Authorized Dealer,Hold Long-Term
282,2023,6,5008.44,32.8,1642.77,30–44,Male,London,Pre-Owned Dealer,Hold Long-Term
283,2023,12,3566.04,36.5,1301.6,45–59,Female,South East,Pre-Owned Dealer,Hold Long-Term
